nohup: ignoring input
Using cuda
[train] Loaded 7568 samples (Pe=[0, 10])
[dev] Loaded 932 samples (Pe=[0, 10])
[test] Loaded 968 samples (Pe=[0, 10])
---- Training ----
Epoch 1/200 | Train=0.0495 | Dev=0.0382
Epoch 37/200 | Train=0.0012 | Dev=0.0016
Epoch 38/200 | Train=0.0012 | Dev=0.0017
Epoch 39/200 | Train=0.0012 | Dev=0.0017
Epoch 40/200 | Train=0.0012 | Dev=0.0017
Epoch 41/200 | Train=0.0011 | Dev=0.0019
Epoch 42/200 | Train=0.0011 | Dev=0.0017
Epoch 43/200 | Train=0.0011 | Dev=0.0017
Epoch 44/200 | Train=0.0011 | Dev=0.0017
Epoch 45/200 | Train=0.0011 | Dev=0.0016
Epoch 46/200 | Train=0.0010 | Dev=0.0016
Epoch 47/200 | Train=0.0010 | Dev=0.0016
Epoch 48/200 | Train=0.0010 | Dev=0.0016
Epoch 49/200 | Train=0.0010 | Dev=0.0016
Epoch 50/200 | Train=0.0010 | Dev=0.0016
Epoch 51/200 | Train=0.0010 | Dev=0.0016
Epoch 52/200 | Train=0.0010 | Dev=0.0016
Epoch 53/200 | Train=0.0010 | Dev=0.0016
Epoch 54/200 | Train=0.0009 | Dev=0.0016
Epoch 55/200 | Train=0.0009 | Dev=0.0016
Epoch 56/200 | Train=0.0009 | Dev=0.0016
Epoch 57/200 | Train=0.0009 | Dev=0.0016
Epoch 58/200 | Train=0.0009 | Dev=0.0016
Epoch 59/200 | Train=0.0009 | Dev=0.0018
Epoch 60/200 | Train=0.0008 | Dev=0.0016
Epoch 61/200 | Train=0.0009 | Dev=0.0018
Epoch 62/200 | Train=0.0009 | Dev=0.0016
Epoch 63/200 | Train=0.0009 | Dev=0.0016
Epoch 64/200 | Train=0.0008 | Dev=0.0016
Epoch 65/200 | Train=0.0008 | Dev=0.0015
Epoch 66/200 | Train=0.0008 | Dev=0.0015
Epoch 67/200 | Train=0.0009 | Dev=0.0015
Epoch 68/200 | Train=0.0009 | Dev=0.0016
Epoch 69/200 | Train=0.0008 | Dev=0.0015
Epoch 70/200 | Train=0.0008 | Dev=0.0015
Epoch 71/200 | Train=0.0008 | Dev=0.0016
Epoch 72/200 | Train=0.0008 | Dev=0.0015
Epoch 73/200 | Train=0.0008 | Dev=0.0016
Epoch 74/200 | Train=0.0008 | Dev=0.0016
Epoch 75/200 | Train=0.0008 | Dev=0.0015
Epoch 76/200 | Train=0.0007 | Dev=0.0015
Epoch 77/200 | Train=0.0008 | Dev=0.0015
Epoch 78/200 | Train=0.0008 | Dev=0.0016
Epoch 79/200 | Train=0.0007 | Dev=0.0016
Epoch 80/200 | Train=0.0007 | Dev=0.0016
Epoch 81/200 | Train=0.0007 | Dev=0.0016
Epoch 82/200 | Train=0.0007 | Dev=0.0016
Epoch 83/200 | Train=0.0007 | Dev=0.0016
Epoch 84/200 | Train=0.0007 | Dev=0.0015
Epoch 85/200 | Train=0.0007 | Dev=0.0016
Epoch 86/200 | Train=0.0007 | Dev=0.0016
Epoch 87/200 | Train=0.0007 | Dev=0.0016
Epoch 88/200 | Train=0.0007 | Dev=0.0016
Epoch 89/200 | Train=0.0007 | Dev=0.0015
Epoch 90/200 | Train=0.0007 | Dev=0.0016
Epoch 91/200 | Train=0.0007 | Dev=0.0016
Epoch 92/200 | Train=0.0007 | Dev=0.0016
Epoch 93/200 | Train=0.0007 | Dev=0.0017
Epoch 94/200 | Train=0.0007 | Dev=0.0016
Epoch 95/200 | Train=0.0007 | Dev=0.0015
Epoch 96/200 | Train=0.0007 | Dev=0.0015
Epoch 97/200 | Train=0.0007 | Dev=0.0016
Epoch 98/200 | Train=0.0007 | Dev=0.0016
Epoch 99/200 | Train=0.0007 | Dev=0.0017
Epoch 100/200 | Train=0.0007 | Dev=0.0015
Epoch 101/200 | Train=0.0007 | Dev=0.0015
Epoch 102/200 | Train=0.0007 | Dev=0.0017
Epoch 103/200 | Train=0.0007 | Dev=0.0016
Epoch 104/200 | Train=0.0007 | Dev=0.0015
Epoch 105/200 | Train=0.0007 | Dev=0.0015
Epoch 106/200 | Train=0.0006 | Dev=0.0015
Epoch 107/200 | Train=0.0007 | Dev=0.0015
Epoch 108/200 | Train=0.0006 | Dev=0.0015
Epoch 109/200 | Train=0.0006 | Dev=0.0015
Epoch 110/200 | Train=0.0007 | Dev=0.0015
Epoch 111/200 | Train=0.0007 | Dev=0.0015
Epoch 112/200 | Train=0.0006 | Dev=0.0015
Epoch 113/200 | Train=0.0007 | Dev=0.0015
Epoch 114/200 | Train=0.0006 | Dev=0.0015
Epoch 115/200 | Train=0.0006 | Dev=0.0015
Epoch 116/200 | Train=0.0006 | Dev=0.0014
Epoch 117/200 | Train=0.0006 | Dev=0.0015
Epoch 118/200 | Train=0.0006 | Dev=0.0015
Epoch 119/200 | Train=0.0006 | Dev=0.0016
Epoch 120/200 | Train=0.0007 | Dev=0.0015
Epoch 121/200 | Train=0.0007 | Dev=0.0016
Epoch 122/200 | Train=0.0006 | Dev=0.0016
Epoch 123/200 | Train=0.0006 | Dev=0.0016
Epoch 124/200 | Train=0.0007 | Dev=0.0015
Epoch 125/200 | Train=0.0006 | Dev=0.0015
Epoch 126/200 | Train=0.0006 | Dev=0.0016
Epoch 127/200 | Train=0.0006 | Dev=0.0015
Epoch 128/200 | Train=0.0006 | Dev=0.0016
Epoch 129/200 | Train=0.0006 | Dev=0.0016
Epoch 130/200 | Train=0.0006 | Dev=0.0015
Epoch 131/200 | Train=0.0006 | Dev=0.0015
Epoch 132/200 | Train=0.0006 | Dev=0.0015
Epoch 133/200 | Train=0.0006 | Dev=0.0015
Epoch 134/200 | Train=0.0006 | Dev=0.0016
Epoch 135/200 | Train=0.0006 | Dev=0.0015
Epoch 136/200 | Train=0.0006 | Dev=0.0015
Epoch 137/200 | Train=0.0006 | Dev=0.0015
Epoch 138/200 | Train=0.0006 | Dev=0.0015
Epoch 139/200 | Train=0.0006 | Dev=0.0015
Epoch 140/200 | Train=0.0006 | Dev=0.0015
Epoch 141/200 | Train=0.0006 | Dev=0.0015
Epoch 142/200 | Train=0.0006 | Dev=0.0015
Epoch 143/200 | Train=0.0006 | Dev=0.0015
Epoch 144/200 | Train=0.0006 | Dev=0.0015
Epoch 145/200 | Train=0.0006 | Dev=0.0015
Epoch 146/200 | Train=0.0006 | Dev=0.0015
Epoch 147/200 | Train=0.0006 | Dev=0.0015
Epoch 148/200 | Train=0.0006 | Dev=0.0015
Epoch 149/200 | Train=0.0006 | Dev=0.0016
Epoch 150/200 | Train=0.0006 | Dev=0.0015
Epoch 151/200 | Train=0.0006 | Dev=0.0015
Epoch 152/200 | Train=0.0006 | Dev=0.0015
Epoch 153/200 | Train=0.0006 | Dev=0.0015
Epoch 154/200 | Train=0.0006 | Dev=0.0016
Epoch 155/200 | Train=0.0006 | Dev=0.0015
Epoch 156/200 | Train=0.0006 | Dev=0.0015
Epoch 157/200 | Train=0.0006 | Dev=0.0015
Epoch 158/200 | Train=0.0006 | Dev=0.0015
Epoch 159/200 | Train=0.0006 | Dev=0.0016
Epoch 160/200 | Train=0.0006 | Dev=0.0015
Epoch 161/200 | Train=0.0006 | Dev=0.0015
Epoch 162/200 | Train=0.0005 | Dev=0.0015
Epoch 163/200 | Train=0.0006 | Dev=0.0015
Epoch 164/200 | Train=0.0006 | Dev=0.0016
Epoch 165/200 | Train=0.0005 | Dev=0.0015
Epoch 166/200 | Train=0.0005 | Dev=0.0015
Epoch 167/200 | Train=0.0006 | Dev=0.0015
Epoch 168/200 | Train=0.0006 | Dev=0.0015
Epoch 169/200 | Train=0.0005 | Dev=0.0015
Epoch 170/200 | Train=0.0006 | Dev=0.0015
Epoch 171/200 | Train=0.0006 | Dev=0.0015
Epoch 172/200 | Train=0.0005 | Dev=0.0015
Epoch 173/200 | Train=0.0006 | Dev=0.0015
Epoch 174/200 | Train=0.0006 | Dev=0.0015
Epoch 175/200 | Train=0.0006 | Dev=0.0015
Epoch 176/200 | Train=0.0006 | Dev=0.0015
Epoch 177/200 | Train=0.0006 | Dev=0.0015
Epoch 178/200 | Train=0.0006 | Dev=0.0015
Epoch 179/200 | Train=0.0006 | Dev=0.0015
Epoch 180/200 | Train=0.0005 | Dev=0.0016
Epoch 181/200 | Train=0.0006 | Dev=0.0015
Epoch 182/200 | Train=0.0006 | Dev=0.0015
Epoch 183/200 | Train=0.0006 | Dev=0.0016
Epoch 184/200 | Train=0.0006 | Dev=0.0015
Epoch 185/200 | Train=0.0006 | Dev=0.0014
Epoch 186/200 | Train=0.0005 | Dev=0.0016
Epoch 187/200 | Train=0.0005 | Dev=0.0015
Epoch 188/200 | Train=0.0006 | Dev=0.0015
Epoch 189/200 | Train=0.0006 | Dev=0.0015
Epoch 190/200 | Train=0.0005 | Dev=0.0015
Epoch 191/200 | Train=0.0005 | Dev=0.0015
Epoch 192/200 | Train=0.0005 | Dev=0.0015
Epoch 193/200 | Train=0.0005 | Dev=0.0015
Epoch 194/200 | Train=0.0005 | Dev=0.0015
Epoch 195/200 | Train=0.0006 | Dev=0.0015
Epoch 196/200 | Train=0.0005 | Dev=0.0015
Epoch 197/200 | Train=0.0005 | Dev=0.0015
Epoch 198/200 | Train=0.0005 | Dev=0.0016
Epoch 199/200 | Train=0.0005 | Dev=0.0015
Epoch 200/200 | Train=0.0005 | Dev=0.0015
Final Test Loss = 0.001493
